model,layer,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_n,high_freq_accuracy,hf_precision,hf_recall,hf_f1,hf_auc,hf_n,low_freq_accuracy,lf_precision,lf_recall,lf_f1,lf_auc,lf_n,accuracy_difference,cohens_h,z_statistic,p_value,p_value_corrected,significant_fdr,n_high,n_low
Llama-3.2-1B,0,0.732564841498559,0.748591549295774,0.70026350461133,0.72362151123213,0.828108108591842,12145,0.880387409200968,1,0.880387409200968,0.93638938964718,,2065,0.531607765057242,1,0.531607765057242,0.694182645433864,,2009,0.348779644143726,0.801248407162687,24.4881093121563,0.0,0.0,True,2065,2009
,1,0.870646356525319,0.887149492516772,0.849308300395257,0.867816575515355,0.944154489395273,12145,0.953995157384987,1,0.953995157384987,0.976456009913259,,2065,0.721254355400696,1,0.721254355400696,0.838056680161943,,2009,0.232740801984291,0.680068102911907,20.2191472354079,0.0,0.0,True,2065,2009
,2,0.921119802387813,0.924327912379688,0.917325428194993,0.920813357579765,0.977072972727294,12145,0.992251815980629,1,0.992251815980629,0.996110841030627,,2065,0.811348929815828,1,0.811348929815828,0.895850508381423,,2009,0.1809028861648,0.722334747488004,19.5093393368139,0.0,0.0,True,2065,2009
,3,0.950761630300535,0.954953457446808,0.946146245059288,0.950529450694904,0.989125539901336,12145,0.99273607748184,1,0.99273607748184,0.996354799513973,,2065,0.871577899452463,1,0.871577899452463,0.931382978723404,,2009,0.121158178029376,0.562357546984685,15.4626164799562,0.0,0.0,True,2065,2009
,4,0.958995471387402,0.960813492063492,0.957015810276679,0.958910891089108,0.992651535761541,12145,0.996125907990314,1,0.996125907990314,0.998059194565744,,2065,0.891488302638128,1,0.891488302638128,0.942631578947368,,2009,0.104637605352186,0.546794743907271,14.5189039167627,0.0,0.0,True,2065,2009
,5,0.96220666941128,0.960610536681437,0.96393280632411,0.962268803945746,0.993549644780771,12145,0.997578692493946,1,0.997578692493946,0.998787878787878,,2065,0.90741662518666,1,0.90741662518666,0.951461377870563,,2009,0.0901620673072867,0.519901515936093,13.5366879161296,0.0,0.0,True,2065,2009
,6,0.96467682173734,0.962162162162162,0.967391304347826,0.964769647696477,0.994104393471871,12145,0.997578692493946,1,0.997578692493946,0.998787878787878,,2065,0.917371826779492,1,0.917371826779492,0.956905503634475,,2009,0.0802068657144544,0.484675925207974,12.6855086556431,0.0,0.0,True,2065,2009
,7,0.962289007822149,0.961981566820276,0.962615283267457,0.962298320711228,0.993335463216852,12145,0.997094430992736,1,0.997094430992736,0.998545101842871,,2065,0.905425584868093,1,0.905425584868093,0.950365726227795,,2009,0.0916688461246425,0.517332374543385,13.5962095036374,0.0,0.0,True,2065,2009
,8,0.963935776039522,0.964085667215815,0.963768115942028,0.963926865425794,0.993559326069492,12145,0.997094430992736,1,0.997094430992736,0.998545101842871,,2065,0.906918865107018,1,0.906918865107018,0.95118767945706,,2009,0.0901755658857176,0.512211154069766,13.4718640294042,0.0,0.0,True,2065,2009
,9,0.963030053519967,0.962189709025152,0.96393280632411,0.963060468942821,0.993048577072929,12145,0.996610169491525,1,0.996610169491525,0.99830220713073,,2065,0.908909905425584,1,0.908909905425584,0.952281616688396,,2009,0.0877002640659405,0.496673688445111,13.1979556759001,0.0,0.0,True,2065,2009
,10,0.960395224372169,0.959710573918763,0.961133069828722,0.96042129515346,0.99212333603867,12145,0.993704600484261,1,0.993704600484261,0.996842360942433,,2065,0.906918865107018,1,0.906918865107018,0.95118767945706,,2009,0.0867857353772429,0.461216008802779,12.8178165163355,0.0,0.0,True,2065,2009
,11,0.956278303828736,0.963371801304566,0.948616600790513,0.955937266616878,0.990754965877389,12145,0.989346246973365,1,0.989346246973365,0.994644595910418,,2065,0.882528621204579,1,0.882528621204579,0.937599153886832,,2009,0.106817625768786,0.492863753901414,13.9955314142549,0.0,0.0,True,2065,2009
,12,0.956195965417867,0.953652145430723,0.95899209486166,0.95631466579077,0.99115709189924,12145,0.99273607748184,1,0.99273607748184,0.996354799513973,,2065,0.902439024390243,1,0.902439024390243,0.948717948717948,,2009,0.0902970530915963,0.464662046791058,13.0026090267559,0.0,0.0,True,2065,2009
,13,0.955043227665706,0.956091119181247,0.953886693017127,0.954987633965375,0.990522140375106,12145,0.990799031476997,1,0.990799031476997,0.995378253466309,,2065,0.894474863115978,1,0.894474863115978,0.944298476090383,,2009,0.0963241683610194,0.46955970548779,13.2909062500193,0.0,0.0,True,2065,2009
,14,0.95603128859613,0.957685950413223,0.954216073781291,0.955947863388879,0.990581068779563,12145,0.992251815980629,1,0.992251815980629,0.996110841030627,,2065,0.894474863115978,1,0.894474863115978,0.944298476090383,,2009,0.0977769528646513,0.485422802227472,13.5745344483844,0.0,0.0,True,2065,2009
,15,0.95413750514615,0.954058949448378,0.954216073781291,0.95413750514615,0.989509469439344,12145,0.989830508474576,1,0.989830508474576,0.994889267461669,,2065,0.897461423593827,1,0.897461423593827,0.945960125918153,,2009,0.0923690848807485,0.449884712401143,12.8502958940478,0.0,0.0,True,2065,2009
Llama-3.2-3B,0,0.757760395224372,0.789172209903917,0.703392621870882,0.743817485196795,0.851246008976859,12145,0.887167070217917,1,0.887167070217917,0.940210418270464,,2065,0.537580886012941,1,0.537580886012941,0.699255422466817,,2009,0.349586184204975,0.810429413746974,24.7067727212247,0.0,0.0,True,2065,2009
,1,0.876574722107863,0.887083121719993,0.862977602108036,0.874864345938726,0.951788266907218,12145,0.967554479418886,1,0.967554479418886,0.983509721880384,,2065,0.738675958188153,1,0.738675958188153,0.849699398797595,,2009,0.228878521230732,0.710927779262623,20.7247982165065,0.0,0.0,True,2065,2009
,2,0.919143680526965,0.93444861727552,0.901515151515151,0.917686504610226,0.97515323012266,12145,0.984987893462469,1,0.984987893462469,0.992437179799951,,2065,0.791438526630164,1,0.791438526630164,0.883578771881078,,2009,0.193549366832305,0.702866291295861,19.7038871833678,0.0,0.0,True,2065,2009
,3,0.954960889254837,0.962343096234309,0.946969696969697,0.95459450485598,0.990873202344683,12145,0.988861985472155,1,0.988861985472155,0.994399805210616,,2065,0.878546540567446,1,0.878546540567446,0.9353471118177,,2009,0.110315444904708,0.500476917797141,14.2249176361201,0.0,0.0,True,2065,2009
,4,0.967970358172087,0.973504415930678,0.962121212121212,0.967779342334134,0.994564363159946,12145,0.993704600484261,1,0.993704600484261,0.996842360942433,,2065,0.910403185664509,1,0.910403185664509,0.953100573215216,,2009,0.0833014148197517,0.449120957486075,12.5130278308936,0.0,0.0,True,2065,2009
,5,0.97455743104158,0.97873400897159,0.970191040843214,0.974443801174427,0.996349028736234,12145,0.995641646489104,1,0.995641646489104,0.99781606406212,,2065,0.930313588850174,1,0.930313588850174,0.963898916967509,,2009,0.0653280576389299,0.402164574162329,11.0222630056189,0.0,0.0,True,2065,2009
,6,0.974722107863318,0.977314124855108,0.972002635046113,0.974651143588473,0.996534274907813,12145,0.995157384987893,1,0.995157384987893,0.99757281553398,,2065,0.93529118964659,1,0.93529118964659,0.96656378600823,,2009,0.0598661953413031,0.375121223298403,10.4872343150822,0.0,0.0,True,2065,2009
,7,0.974886784685055,0.977321635490812,0.972332015810276,0.974820440848675,0.996749649683788,12145,0.997578692493946,1,0.997578692493946,0.998787878787878,,2065,0.93230462916874,1,0.93230462916874,0.964966512107161,,2009,0.065274063325206,0.427970832451527,11.3096818222605,0.0,0.0,True,2065,2009
,8,0.976368876080691,0.976916735366859,0.975790513833992,0.976353299826975,0.996999966590062,12145,0.997094430992736,1,0.997094430992736,0.998545101842871,,2065,0.944250871080139,1,0.944250871080139,0.971326164874551,,2009,0.0528435599125967,0.368867694529374,9.96160223748792,0.0,0.0,True,2065,2009
,9,0.977109921778509,0.976950938426078,0.977272727272727,0.977111806356001,0.99684406258766,12145,0.997578692493946,1,0.997578692493946,0.998787878787878,,2065,0.944250871080139,1,0.944250871080139,0.971326164874551,,2009,0.0533278214138073,0.378273305420538,10.0953445821372,0.0,0.0,True,2065,2009
