Models,layer,accuracy,f1,auc,n_matched_pairs
Qwen2.5-1.5B,0,0.8310104529616724,0.8242298731555786,0.9121123931853696,13391
,1,0.893230462916874,0.8915297092288242,0.9552575877441508,13391
,2,0.9044300647088104,0.9030792529025744,0.9642992794247688,13391
,3,0.9258337481333996,0.92531328320802,0.9752725478007008,13391
,4,0.9313091090094574,0.928829293450232,0.9812850634068048,13391
,5,0.9342956694873072,0.9337681886603112,0.9815172193025858,13391
,6,0.9415131906421104,0.9416728716803175,0.9834121267635608,13391
,7,0.945993031358885,0.9453813239365718,0.9860827867428824,13391
,8,0.9457441513190642,0.9454181271907862,0.9843471922392044,13391
,9,0.9482329517172724,0.9475542107917296,0.986727719290074,13391
,10,0.9509706321553012,0.950514945993469,0.987802772045457,13391
,11,0.9469885515181684,0.9463611181062704,0.9881132217118536,13391
,12,0.952463912394226,0.9519012843112566,0.9899079081911388,13391
,13,0.9544549527127923,0.954307116104869,0.989613934903685,13391
,14,0.9552015928322548,0.9547738693467336,0.9903485584159486,13391
,15,0.9534594325535092,0.9527180783817952,0.9903056950541876,13391
,16,0.952463912394226,0.9524520786656708,0.990132755016562,13391
,17,0.9517172722747635,0.9513540621865596,0.9891481365215417,13391
,18,0.9556993529118964,0.9551637279596976,0.9902785647760786,13391
,19,0.952463912394226,0.9522619345163708,0.9899219069191127,13391
,20,0.9527127924340468,0.9523570712136408,0.9897767165723385,13391
,21,0.9507217521154804,0.9501510574018128,0.9899484177844796,13391
,22,0.9415131906421104,0.9416728716803175,0.9877559444421457,13391
,23,0.943255350920856,0.94311377245509,0.9860007764958136,13391
,24,0.9397710303633648,0.9398009950248756,0.9854826996782274,13391
,25,0.9412643106022895,0.9407927747114904,0.9851422704351076,13391
,26,0.9400199104031856,0.939583855602908,0.9871350451093522,13391
,27,0.9313091090094574,0.9311033449825262,0.9835196568156088,13391
LLaMA-3.2-3B,0,0.8641114982578397,0.8619817997977756,0.9391808539025852,13391
,1,0.9113987058237928,0.9094608341810784,0.9717518057739674,13391
,2,0.9377799900447984,0.9367088607594936,0.9841722700808035,13391
,3,0.9554504728720756,0.95492319315034,0.990316472835902,13391
