Models,layer,accuracy,precision,recall,f1,auc,n_high,n_low
Qwen2.5-1.5B,0,0.8352970054000982,0.8559754851889684,0.8116222760290557,0.8332090479741486,0.9140195994537896,13768,13391
,1,0.8937162493863525,0.9254431699687174,0.8595641646489104,0.8912879738890284,0.9550015246162245,13768,13391
,2,0.9167893961708394,0.9302093718843468,0.90363196125908,0.9167280766396464,0.971480637373948,13768,13391
,3,0.9263622974963182,0.9323860852523272,0.921549636803874,0.9269361909400876,0.977710472365879,13768,13391
,4,0.9398625429553265,0.9586693548387096,0.9210653753026634,0.9394912324030624,0.9835167894595384,13768,13391
,5,0.9396170839469808,0.9595755432036382,0.9196125907990316,0.9391691394658752,0.9822136945488644,13768,13391
,6,0.9413352970054,0.9625126646403244,0.9200968523002422,0.9408269373607328,0.9850635819201004,13768,13391
,7,0.9418262150220912,0.9625506072874492,0.9210653753026634,0.941351150705271,0.9869586859133898,13768,13391
,8,0.9420716740304368,0.9593169261677548,0.9249394673123488,0.9418145956607497,0.985172052639635,13768,13391
,9,0.9474717722140402,0.9583952451708768,0.937046004842615,0.9476003917727718,0.985934722320984,13768,13391
,10,0.9494354442808052,0.9585594474592994,0.9409200968523004,0.9496578690127078,0.9877300332523016,13768,13391
,11,0.9516445753559156,0.9679358717434868,0.9355932203389832,0.9514897808421572,0.9893942151360042,13768,13391
,12,0.9536082474226804,0.9607072691552064,0.9472154963680388,0.9539136795903438,0.9899982765207896,13768,13391
,13,0.9553264604810996,0.9672456575682382,0.9438256658595642,0.9553921568627451,0.9898214692479484,13768,13391
,14,0.9548355424644084,0.9649036085022245,0.945278450363196,0.9549902152641878,0.9905111019781444,13768,13391
,15,0.956308296514482,0.9604685212298684,0.9530266343825666,0.9567331064657268,0.990326581231914,13768,13391
,16,0.9499263622974964,0.948866377231066,0.952542372881356,0.9507008216529724,0.9894718319619824,13768,13391
,17,0.959499263622975,0.9647749510763208,0.9549636803874092,0.959844244341689,0.9904943492781274,13768,13391
,18,0.9587628865979382,0.9721254355400696,0.9457627118644067,0.9587628865979382,0.9908275954331416,13768,13391
,19,0.956308296514482,0.9696366351418616,0.9433414043583536,0.956308296514482,0.9909569166354312,13768,13391
,20,0.9511536573392244,0.9515972894482092,0.9520581113801452,0.951827644638102,0.989515220249796,13768,13391
,21,0.9506627393225332,0.9641434262948207,0.9375302663438256,0.9506506260741469,0.989054822306883,13768,13391
,22,0.945753559155621,0.9619238476953909,0.9297820823244553,0.9455799064269884,0.987863090668264,13768,13391
,23,0.9440353460972016,0.9478303266699172,0.9414043583535108,0.9446064139941692,0.9863165392537456,13768,13391
,24,0.9398625429553265,0.9536390827517448,0.9263922518159806,0.9398182264799804,0.9865366142913788,13768,13391
,25,0.9432989690721648,0.9508357915437562,0.9365617433414044,0.9436447914125397,0.9848820742494128,13768,13391
,26,0.942562592047128,0.9538919186911254,0.9317191283292978,0.9426751592356688,0.9851436092065128,13768,13391
,27,0.932744231713304,0.94004914004914,0.9263922518159806,0.9331707317073172,0.980864800889942,13768,13391
LLaMA-3.2-3B,0,0.868433971526755,0.8950904392764858,0.8387409200968523,0.866,0.9381988075452232,13768,13391
,1,0.922680412371134,0.9547817047817048,0.8895883777239709,0.9210328403108548,0.9764505246969748,13768,13391
