Models,layer,r2,rmse,spearman_r,spearman_p,best_alpha,n_train,n_test
Qwen2.5-1.5B,0,0.5031588077545166,1.683327284257552,0.6961854584027772,0.0,100.0,28336,6073
,1,0.5991007089614868,1.512089173820837,0.7780250567324158,0.0,0.1,28336,6073
,2,0.6613249778747559,1.389796921282608,0.8182901526492401,0.0,0.1,28336,6073
,3,0.7030807137489319,1.301304663207152,0.8459234475861725,0.0,0.1,28336,6073
,4,0.7260600328445435,1.249935148464196,0.8599374975819226,0.0,0.1,28336,6073
,5,0.7341053485870361,1.231443666824585,0.8655331412268682,0.0,0.1,28336,6073
,6,0.7459253668785095,1.203761390719289,0.8711274584712047,0.0,0.1,28336,6073
,7,0.7591814994812012,1.171938220544032,0.8788178218383261,0.0,0.1,28336,6073
,8,0.7675682306289673,1.151350414357786,0.8824054927008096,0.0,0.1,28336,6073
,9,0.7712153196334839,1.142281831324107,0.8842206869265422,0.0,0.1,28336,6073
,10,0.771989107131958,1.140348427045303,0.8842415331938702,0.0,0.1,28336,6073
,11,0.7714776992797852,1.141626571498814,0.8842808246385027,0.0,0.1,28336,6073
,12,0.7718650102615356,1.140658756958473,0.8837589444730676,0.0,0.1,28336,6073
,13,0.7774372100830078,1.126642300005581,0.887164402464436,0.0,0.1,28336,6073
,14,0.7781317234039307,1.124883168829786,0.8872794831848636,0.0,0.1,28336,6073
,15,0.77836674451828,1.1242871675224,0.8875397098278951,0.0,0.1,28336,6073
,16,0.7779988050460815,1.125219906400933,0.8876441647120447,0.0,1.0,28336,6073
,17,0.7762696743011475,1.129593636608706,0.8863563785301765,0.0,10.0,28336,6073
,18,0.7771145701408386,1.127458640818088,0.8862928232753,0.0,0.1,28336,6073
,19,0.7755683064460754,1.131362776640839,0.8850722698558564,0.0,0.1,28336,6073
,20,0.7752869725227356,1.132071575028383,0.8851341470130687,0.0,0.1,28336,6073
,21,0.770971417427063,1.142890457110543,0.8833470339677463,0.0,0.1,28336,6073
,22,0.7633456587791443,1.16176162773997,0.878619773800154,0.0,0.1,28336,6073
,23,0.7567101120948792,1.177936340525768,0.8752301042201941,0.0,0.1,28336,6073
,24,0.7515214085578918,1.190431089455183,0.8718624823448318,0.0,0.1,28336,6073
,25,0.7468793392181396,1.201499385689123,0.8682003727785541,0.0,0.1,28336,6073
