Models,layer,pooling,accuracy,f1,freq_diff,cohens_h
Qwen2.5-1.5B,0,mean_pool,0.8267599835323178,0.8215739484396201,0.2676396891952316,0.7122413021249572
,1,,0.8480856319473035,0.8455162019593067,0.2502568948207642,0.7102776452195321
,2,,0.8748456154796213,0.8726541554959786,0.2281124769047759,0.6839130796591744
,3,,0.9108275010292302,0.9100722411359295,0.1847111726046351,0.6581985524629466
,4,,0.9220255249073692,0.9213520471721618,0.1342906075203955,0.480468274129517
,5,,0.9327295183202964,0.932507228418009,0.1392935181513697,0.5617217489274653
,6,,0.9354466858789624,0.9347428000665888,0.1364959377715534,0.5220291929954417
,7,,0.9370111156854672,0.936666942627701,0.1156305101618986,0.4576294009428587
,8,,0.9386578839028408,0.9377350605933974,0.1394959968278341,0.5282338930193347
,9,,0.9371757925072046,0.9366436934318692,0.1269980005230698,0.5017079101650359
,10,,0.9399752984767394,0.9398266611638464,0.1213606567058406,0.5134202805136638
,11,,0.9421984355701934,0.9416264759687344,0.1269305076309151,0.512347021590847
,12,,0.9384108686702348,0.9377289377289376,0.122653145590605,0.4705951952079212
,13,,0.9466447097571016,0.9466666666666668,0.105822105609503,0.4897661907432948
,14,,0.942280773981062,0.9418787828538264,0.1130742168715357,0.4596260382787278
,15,,0.9441745574310416,0.943301555444054,0.1186170706397482,0.4662271777418949
,16,,0.9412103746397694,0.9404404404404404,0.1132227012342762,0.4403384028083725
,17,,0.9446685878962536,0.9444536286989584,0.1143515198555651,0.5008475526720546
,18,,0.9396459448332648,0.9390841851574836,0.1131957040774144,0.4435845154737534
,19,,0.9402223137093454,0.9396006655574044,0.125504720284145,0.4974859789919303
,20,,0.9413750514615068,0.9409814323607428,0.1243607157621212,0.5195197158071565
,21,,0.9396459448332648,0.9394164807008843,0.1168943145674971,0.4977120865000235
,22,,0.9401399752984768,0.9400807714497652,0.1094414119513039,0.4729297299343376
,23,,0.9366817620419926,0.9364935172185976,0.1194911035931528,0.4865793252794952
,24,,0.9387402223137092,0.9389463318562284,0.1084053960567278,0.4774170415737333
,25,,0.9287772745986004,0.9286126929107864,0.1492487197442019,0.5889292353384379
,26,,0.9340469328941952,0.93407949962966,0.1208358994693371,0.5172843664475093
,27,,0.9268834911486208,0.9269376337008391,0.1289350465279125,0.5157668182293942
Qwen2.5-1.5B,0,last_token,0.7636887608069164,0.7564080801222204,0.2928280365474011,0.6963919706854578
,1,,0.8426512968299712,0.8347886228062592,0.3078637655971855,0.8032293538553583
,2,,0.8797859201317415,0.87396408839779,0.2479975702558824,0.6866730769765819
,3,,0.9023466447097572,0.8995766299745978,0.2115919042275861,0.6559651346899478
,4,,0.9147797447509264,0.9143849780792456,0.175751491171086,0.6357813300164921
,5,,0.9256484149855908,0.9258559816076852,0.1344239059824011,0.5289006413321156
,6,,0.934623301770276,0.9335119745436276,0.1643030093393289,0.6065599171266394
,7,,0.94055166735282,0.9403305785123968,0.1238629556824797,0.5180814174968096
,8,,0.941292713050638,0.9407068607068608,0.1171237904008234,0.461937855884087
,9,,0.9420337587484562,0.9414212015310368,0.1368182163315926,0.552244182402752
,10,,0.9452449567723344,0.9450367798991652,0.1232707055538213,0.5361279779752905
,11,,0.9433511733223549,0.9428001330229464,0.1273877719752638,0.5206935078593826
,12,,0.9442568958419104,0.9438407299875572,0.1288405564788958,0.5323690976012858
,13,,0.9459036640592836,0.945599072617372,0.102177489433144,0.4196593491369218
,14,,0.9446685878962536,0.944055944055944,0.1288945507926197,0.5225724104431113
,15,,0.9482914779744752,0.9479960251738988,0.1030785195434106,0.4357244070162402
,16,,0.9463976945244956,0.946104810000828,0.1139077540896474,0.4888433710967002
