Models,layer,accuracy,f1,auc
Qwen2.5-1.5B,0,0.7659942363112392,0.7595600676818951,0.8527784322365113
,4,0.9155207904487443,0.9153185869924068,0.9719321270610296
,7,0.93684643886373,0.936710949748329,0.981689727116742
,8,0.9403869905310828,0.940313272877164,0.982611266481784
,12,0.9415397282832442,0.9413998019148234,0.9826293002548916
,14,0.9432688349114862,0.9430625568134864,0.9836649269634902
,16,0.9444215726636476,0.9441733520800596,0.9848728643402505
,20,0.9436805269658296,0.9434710743801652,0.9844221284863758
,21,0.9428571428571428,0.942710912993231,0.9841703336242602
,24,0.936599423631124,0.9363320654870184,0.9828104786581008
,27,0.9321531494442156,0.9318783068783068,0.979466257807132
LLaMA-3.2-3B,0,0.7636887608069164,0.7611517976031957,0.8516890025116028
,4,0.9563606422396048,0.956507467585754,0.9908074943262768
,7,0.9629477151090984,0.9628283495787212,0.991959852427872
,8,0.9636064223960478,0.9635313531353136,0.9935317059222584
,12,0.9651708522025524,0.9651823195324718,0.9937555009787592
,14,0.962041992589543,0.961947998349154,0.9925128519785732
,16,0.9604775627830384,0.9605068290274806,0.99160733962091
,20,0.956525319061342,0.9565002471576866,0.9911206040169592
,21,0.9578427336352408,0.9578462045117734,0.9905097608000336
,24,0.9575957184026348,0.9574766740979276,0.9899260089204532
,27,0.9584191025113216,0.9584054031793098,0.9885230356095696
Qwen3-4B-Base,0,0.8018114450391107,0.7939035876359277,0.8818876674374815
Qwen3-4B-Base,4,0.921860848085632,0.9215118683318172,0.97754430504835
Qwen3-4B-Base,8,0.946315356113627,0.9461690885072656,0.987825101471838
Qwen3-4B-Base,9,0.9476327706875256,0.9475420653249752,0.9881376416749488
Qwen3-4B-Base,12,0.9501852614244544,0.9501934634066024,0.989009445792051
Qwen3-4B-Base,16,0.9522437216961712,0.952137316388843,0.9895109473951856
Qwen3-4B-Base,18,0.952573075339646,0.9524987629886196,0.9899946592913146
Qwen3-4B-Base,20,0.9522437216961712,0.9520819563780568,0.9899709306424882
Qwen3-4B-Base,24,0.9521613832853026,0.9520270828172736,0.989822701163078
Qwen3-4B-Base,27,0.9490325236722932,0.9489484536082474,0.9876471772833252
Qwen3-4B-Base,28,0.950596953478798,0.9504705299653292,0.9876578619549108
Qwen3-4B-Base,32,0.9484561547962124,0.9483071841453344,0.9866845263392884
Qwen3-4B-Base,35,0.9434335117332237,0.9432090600975448,0.9851341099842128
Llama-3.1-8B,0,0.8061753808151503,0.8025167785234899,0.8919500789364012
,4,0.971263894606834,0.9712307311845684,0.9957484498548296
,8,0.9818855496088924,0.9818840579710144,0.99759251840855
,12,0.9804857966241252,0.9804536082474228,0.9972892798357792
,16,0.9803211198023878,0.9803243599242611,0.9974533464933776
,20,0.9753808151502676,0.9753686465112448,0.996383509852786
,24,0.9733223548785508,0.9733377221856484,0.9960886644420855
,28,0.9726636475916016,0.972652388797364,0.9958273374427556
,31,0.9713462330177028,0.9713627386438446,0.994657854036322
Qwen3-8B-Base,0,0.7853437628653767,0.7794229630256367,0.8724424177556895
,4,0.9179909427748044,0.917631491895468,0.9735638852242816
,8,0.9365170852202552,0.9364123711340206,0.98176944181757
,9,0.9354466858789624,0.935398813447594,0.9822837433318428
,12,0.9411280362289008,0.9410892312762626,0.9828997932922824
