Models,layer,accuracy,f1
Qwen2.5-1.5B,0,0.908854167,0.94648318
,1,0.91796875,0.952667168
,2,0.921875,0.955357143
,3,0.911458333,0.948948949
,4,0.90625,0.946026987
,5,0.91015625,0.947924528
,6,0.915364583,0.950869237
,7,0.921875,0.955357143
,8,0.921875,0.955156951
,9,0.912760417,0.949357521
,10,0.912760417,0.949586155
,11,0.908854167,0.946889226
,12,0.91796875,0.952667168
,13,0.91015625,0.947766843
,14,0.916666667,0.952023988
,15,0.920572917,0.954511559
,16,0.91796875,0.952808989
,17,0.904947917,0.944232238
,18,0.916666667,0.952023988
,19,0.9296875,0.959641256
,20,0.915364583,0.951237809
,21,0.916666667,0.951588502
,22,0.908854167,0.947916667
,23,0.9140625,0.95037594
,24,0.9140625,0.950075643
,25,0.9140625,0.95037594
,26,0.919270833,0.953800298
,27,0.915364583,0.951310861
Llama-3.2-3B,0,0.943298969,0.967551622
,1,0.949742268,0.971089696
,2,0.960051546,0.976985895
,3,0.960051546,0.976985895
,4,0.951030928,0.971556886
,5,0.952319588,0.972367438
,6,0.943298969,0.966817496
,7,0.957474227,0.975428146
,8,0.953608247,0.97309417
,9,0.952319588,0.97240865
,10,0.960051546,0.976848394
,11,0.954896907,0.974169742
,12,0.962628866,0.978502595
,13,0.952319588,0.972367438
,14,0.953608247,0.973372781
,15,0.948453608,0.970104634
,16,0.947164948,0.969149737
,17,0.952319588,0.972201352
,18,0.956185567,0.97473997
,19,0.943298969,0.967065868
,20,0.947164948,0.969471333
,21,0.944587629,0.967934377
,22,0.954896907,0.973977695
,23,0.958762887,0.976296296
,24,0.956185567,0.974814815
,25,0.947164948,0.969425802
,26,0.943298969,0.967164179
,27,0.945876289,0.968609865
Qwen3-4B-Base,0,0.976178409,0.987456632
,1,0.97871262,0.988770053
,2,0.977192093,0.987951807
,3,0.975164724,0.986873828
,4,0.979219463,0.989104438
,5,0.982260517,0.990664177
,6,0.974151039,0.986345382
,7,0.9700963,0.984152565
,8,0.973137354,0.985787074
,9,0.973644197,0.986096257
,10,0.973137354,0.985847797
,11,0.977698936,0.988241582
,12,0.973644197,0.986103688
,13,0.978205778,0.98853639
,14,0.976685251,0.987713675
,15,0.975164724,0.986915888
,16,0.976685251,0.987700535
,17,0.976178409,0.987449933
,18,0.975671566,0.987186332
,19,0.974657881,0.986631016
,20,0.974657881,0.986595174
,21,0.975671566,0.987165775
,22,0.971109985,0.984689766
,23,0.973137354,0.985825087
,24,0.974151039,0.986330742
,25,0.976178409,0.987463324
,26,0.975671566,0.987172635
,27,0.969082615,0.983597741
,28,0.974151039,0.986352689
,29,0.977192093,0.987945352
,30,0.975164724,0.986894892
,31,0.974657881,0.986609534
,32,0.97871262,0.988788041
,33,0.974151039,0.986316072
,34,0.973137354,0.985825087
,35,0.95945261,0.978540773
,0,0.978787879,0.988829787
,1,0.983838384,0.991489362
,2,0.983838384,0.991471215
,3,0.986363636,0.992813415
,4,0.990909091,0.995217853
,5,0.984848485,0.991991458
,6,0.986363636,0.992798079
,7,0.981313131,0.990104306
,8,0.98030303,0.989569404
,9,0.97979798,0.98929909
,10,0.985353535,0.992276964
,11,0.985858586,0.992537313
,12,0.983838384,0.991471215
,13,0.984848485,0.991995731
,14,0.988888889,0.994142705
,15,0.981818182,0.990379476
,16,0.987373737,0.993338662
,17,0.983333333,0.991188251
,18,0.987373737,0.993356365
,19,0.982828283,0.990928495
,20,0.978787879,0.988739946
,21,0.980808081,0.989834136
,22,0.982323232,0.990644213
,23,0.984343434,0.991717873
,24,0.983333333,0.991192954
,25,0.981818182,0.990394877
,26,0.980808081,0.989893617
,27,0.982828283,0.990952634
,28,0.980808081,0.989866667
,29,0.984343434,0.991735537
,30,0.986363636,0.992813415
,31,0.98030303,0.989569404
Qwen3-8B-Base,0,0.975671566,0.987179487
,1,0.97871262,0.988841658
,2,0.979726305,0.989361702
,3,0.971616827,0.984994641
,4,0.9700963,0.984237243
,5,0.9700963,0.98422038
,6,0.966041561,0.981974711
,7,0.964521034,0.981203008
,8,0.954384187,0.975570033
,9,0.9700963,0.984211935
,10,0.968575773,0.983360172
,11,0.967055246,0.982559699
,12,0.966041561,0.981974711
,13,0.9700963,0.984169573
,14,0.969589458,0.98392283
,15,0.96147998,0.979547901
,16,0.967055246,0.982522183
,17,0.971616827,0.985042735
,18,0.967055246,0.982559699
,19,0.970603142,0.984491979
,20,0.966041561,0.982013423
,21,0.965534719,0.981740064
,22,0.963000507,0.980296896
,23,0.970603142,0.984483681
,24,0.9700963,0.984169573
,25,0.964521034,0.981213097
,26,0.965027876,0.981506299
,27,0.967562088,0.982851018
,28,0.969589458,0.983914209
,29,0.971616827,0.985042735
,30,0.97212367,0.985298049
,31,0.967562088,0.982795699
,32,0.964521034,0.981172673
,33,0.965027876,0.981456598
,34,0.963507349,0.980655562
,35,0.963507349,0.980603448
Qwen2.5-3B,0,0.954427083,0.97386109
,1,0.9375,0.963909774
,2,0.930989583,0.959572845
,3,0.91796875,0.951501155
,4,0.9375,0.96347032
,5,0.951822917,0.972201352
,6,0.928385417,0.957983193
,7,0.916666667,0.950769231
,8,0.947916667,0.969924812
,9,0.934895833,0.96194825
,10,0.944010417,0.96754717
,11,0.928385417,0.957918898
,12,0.936197917,0.962680883
,13,0.94140625,0.965934898
,14,0.94921875,0.970786517
,15,0.9453125,0.968277946
,16,0.946614583,0.96928839
,17,0.9375,0.963581184
,18,0.946614583,0.96910324
,19,0.947916667,0.969924812
,20,0.932291667,0.960606061
,21,0.944010417,0.967596081
,22,0.94140625,0.965883245
,23,0.94921875,0.970742686
,24,0.950520833,0.971385542
,25,0.946614583,0.969009826
,26,0.94921875,0.970654628
,27,0.940104167,0.965256798
,28,0.946614583,0.969056604
,29,0.947916667,0.970193741
,30,0.938802083,0.964312832
,31,0.934895833,0.962462462
,32,0.91796875,0.951724138
,33,0.928385417,0.958677686
,34,0.92578125,0.957175056
,35,0.930989583,0.960180316
SmolLM3-3B-Base,0,0.923969072,0.955871354
,1,0.930412371,0.959459459
,2,0.922680412,0.95508982
,3,0.927835052,0.958146487
,4,0.929123711,0.958739685
,5,0.920103093,0.953800298
,6,0.925257732,0.956456456
,7,0.934278351,0.961911875
,8,0.916237113,0.950419527
,9,0.929123711,0.959349593
,10,0.927835052,0.957831325
,11,0.932989691,0.961136024
,12,0.921391753,0.953962264
,13,0.914948454,0.950524738
,14,0.925257732,0.956521739
,15,0.917525773,0.951661631
,16,0.920103093,0.953592814
,17,0.927835052,0.957957958
,18,0.917525773,0.952095808
,19,0.923969072,0.955605719
,20,0.926546392,0.957110609
,21,0.920103093,0.953313253
,22,0.932989691,0.961424332
,23,0.93685567,0.963676798
,24,0.93556701,0.963126844
,25,0.929123711,0.958739685
,26,0.929123711,0.95904691
,27,0.920103093,0.953383459
,28,0.932989691,0.961481481
,29,0.926546392,0.957430919
,30,0.927835052,0.958333333
,31,0.932989691,0.961538462
,32,0.93943299,0.965210955
,33,0.914948454,0.950151057
,34,0.911082474,0.948237059
,35,0.899484536,0.940909091
Llama-3.2-1B,0,0.932989691,0.961367013
,1,0.947164948,0.96956199
,2,0.947164948,0.969786293
,3,0.952319588,0.972531552
,4,0.949742268,0.970917226
,5,0.944587629,0.96798213
,6,0.953608247,0.973214286
,7,0.948453608,0.970457903
,8,0.948453608,0.97005988
,9,0.93685567,0.963074604
,10,0.93814433,0.963909774
,11,0.951030928,0.971893491
,12,0.945876289,0.968562874
,13,0.943298969,0.967065868
,14,0.951030928,0.971556886
,15,0.943298969,0.967065868
SmolLM2-360M,0,0.919811321,0.954827281
,1,0.90408805,0.945193172
,2,0.90408805,0.945487042
,3,0.897798742,0.941388638
,4,0.882075472,0.932735426
,5,0.900943396,0.944198406
,6,0.882075472,0.931381519
,7,0.896226415,0.941281139
,8,0.874213836,0.926873857
,9,0.872641509,0.926430518
,10,0.899371069,0.943060498
,11,0.907232704,0.947085202
,12,0.900943396,0.944198406
,13,0.894654088,0.940017905
,14,0.872641509,0.925482981
,15,0.88836478,0.936436885
,16,0.875786164,0.927721866
,17,0.899371069,0.943161634
,18,0.897798742,0.942426926
,19,0.885220126,0.934529148
,20,0.863207547,0.920402562
,21,0.899371069,0.943462898
,22,0.90408805,0.945777778
,23,0.900943396,0.944297082
,24,0.878930818,0.929936306
,25,0.899371069,0.94356261
,26,0.880503145,0.930530165
,27,0.896226415,0.941176471
,28,0.882075472,0.931756142
,29,0.882075472,0.931506849
,30,0.878930818,0.929551693
,31,0.894654088,0.940969163
Llama-3.1-8B,0,0.978787879,0.988829787
,1,0.983838384,0.991489362
,2,0.983838384,0.991471215
,3,0.986363636,0.992813415
,4,0.990909091,0.995217853
,5,0.984848485,0.991991458
,6,0.986363636,0.992798079
,7,0.981313131,0.990104306
,8,0.98030303,0.989569404
,9,0.97979798,0.98929909
,10,0.985353535,0.992276964
,11,0.985858586,0.992537313
,12,0.983838384,0.991471215
,13,0.984848485,0.991995731
,14,0.988888889,0.994142705
,15,0.981818182,0.990379476
,16,0.987373737,0.993338662
,17,0.983333333,0.991188251
,18,0.987373737,0.993356365
,19,0.982828283,0.990928495
,20,0.978787879,0.988739946
,21,0.980808081,0.989834136
,22,0.982323232,0.990644213
,23,0.984343434,0.991717873
,24,0.983333333,0.991192954
,25,0.981818182,0.990394877
,26,0.980808081,0.989893617
,27,0.982828283,0.990952634
,28,0.980808081,0.989866667
,29,0.984343434,0.991735537
,30,0.986363636,0.992813415
,31,0.98030303,0.989569404
